file,language,category,seq_len,sink_score
english_code_01,english,code,12,0.7275390625
english_code_02,english,code,11,0.7432528138160706
english_code_03,english,code,10,0.748828113079071
english_code_04,english,code,6,0.7799479365348816
english_code_05,english,code,10,0.736328125
english_code_06,english,code,9,0.7664930820465088
english_code_07,english,code,13,0.7337740659713745
english_code_08,english,code,8,0.7509765625
english_code_09,english,code,13,0.717848539352417
english_code_10,english,code,8,0.77099609375
english_gibberish_01,english,gibberish,10,0.7437499761581421
english_gibberish_02,english,gibberish,11,0.7397016882896423
english_gibberish_03,english,gibberish,11,0.73046875
english_gibberish_04,english,gibberish,10,0.729687511920929
english_gibberish_05,english,gibberish,11,0.71875
english_gibberish_06,english,gibberish,10,0.735546886920929
english_gibberish_07,english,gibberish,10,0.750781238079071
english_gibberish_08,english,gibberish,10,0.749218761920929
english_gibberish_09,english,gibberish,10,0.737109363079071
english_gibberish_10,english,gibberish,9,0.7482638955116272
english_list_01,english,list,6,0.7708333134651184
english_list_02,english,list,6,0.76953125
english_list_03,english,list,8,0.740234375
english_list_04,english,list,8,0.73974609375
english_list_05,english,list,6,0.7740885615348816
english_list_06,english,list,6,0.751953125
english_list_07,english,list,6,0.7766926884651184
english_list_08,english,list,6,0.7766926884651184
english_list_09,english,list,8,0.74560546875
english_list_10,english,list,6,0.7682291865348816
english_question_01,english,question,4,0.8369140625
english_question_02,english,question,6,0.8053385615348816
english_question_03,english,question,6,0.8040364384651184
english_question_04,english,question,7,0.7940848469734192
english_question_05,english,question,5,0.8218749761581421
english_question_06,english,question,7,0.7806919813156128
english_question_07,english,question,5,0.824999988079071
english_question_08,english,question,8,0.75439453125
english_question_09,english,question,8,0.765625
english_question_10,english,question,10,0.7660156488418579
english_story_01,english,story,21,0.6713169813156128
english_story_02,english,story,14,0.6947544813156128
english_story_03,english,story,13,0.7241586446762085
english_story_04,english,story,16,0.702880859375
english_story_05,english,story,11,0.7095170617103577
english_story_06,english,story,14,0.6950334906578064
english_story_07,english,story,14,0.693359375
english_story_08,english,story,12,0.7190755009651184
english_story_09,english,story,14,0.6944754719734192
english_story_10,english,story,14,0.6964285969734192
vietnamese_code_01,vietnamese,code,14,0.7170758843421936
vietnamese_code_02,vietnamese,code,10,0.755859375
vietnamese_code_03,vietnamese,code,12,0.7350260615348816
vietnamese_code_04,vietnamese,code,10,0.746874988079071
vietnamese_code_05,vietnamese,code,10,0.739453136920929
vietnamese_code_06,vietnamese,code,10,0.7621093988418579
vietnamese_code_07,vietnamese,code,14,0.7195870280265808
vietnamese_code_08,vietnamese,code,10,0.746874988079071
vietnamese_code_09,vietnamese,code,15,0.6924479007720947
vietnamese_code_10,vietnamese,code,12,0.7360026240348816
vietnamese_gibberish_01,vietnamese,gibberish,10,0.7421875
vietnamese_gibberish_02,vietnamese,gibberish,9,0.7434895634651184
vietnamese_gibberish_03,vietnamese,gibberish,11,0.7372159361839294
vietnamese_gibberish_04,vietnamese,gibberish,9,0.7608506679534912
vietnamese_gibberish_05,vietnamese,gibberish,12,0.72265625
vietnamese_gibberish_06,vietnamese,gibberish,12,0.7373046875
vietnamese_gibberish_07,vietnamese,gibberish,9,0.7417534589767456
vietnamese_gibberish_08,vietnamese,gibberish,10,0.7308593988418579
vietnamese_gibberish_09,vietnamese,gibberish,12,0.7265625
vietnamese_gibberish_10,vietnamese,gibberish,11,0.7290483117103577
vietnamese_list_01,vietnamese,list,10,0.7417968511581421
vietnamese_list_02,vietnamese,list,10,0.7457031011581421
vietnamese_list_03,vietnamese,list,11,0.7325994372367859
vietnamese_list_04,vietnamese,list,13,0.7289663553237915
vietnamese_list_05,vietnamese,list,10,0.7398437261581421
vietnamese_list_06,vietnamese,list,10,0.740234375
vietnamese_list_07,vietnamese,list,11,0.7414772510528564
vietnamese_list_08,vietnamese,list,9,0.7560763955116272
vietnamese_list_09,vietnamese,list,17,0.7201286554336548
vietnamese_list_10,vietnamese,list,13,0.71875
vietnamese_question_01,vietnamese,question,11,0.7574573755264282
vietnamese_question_02,vietnamese,question,10,0.764453113079071
vietnamese_question_03,vietnamese,question,12,0.7353515625
vietnamese_question_04,vietnamese,question,9,0.7191840410232544
vietnamese_question_05,vietnamese,question,13,0.7403846383094788
vietnamese_question_06,vietnamese,question,12,0.7399088740348816
vietnamese_question_07,vietnamese,question,11,0.7556818127632141
vietnamese_question_08,vietnamese,question,12,0.7386067509651184
vietnamese_question_09,vietnamese,question,12,0.7454426884651184
vietnamese_question_10,vietnamese,question,12,0.728515625
vietnamese_story_01,vietnamese,story,22,0.6853693127632141
vietnamese_story_02,vietnamese,story,20,0.7037109136581421
vietnamese_story_03,vietnamese,story,20,0.695117175579071
vietnamese_story_04,vietnamese,story,20,0.691601574420929
vietnamese_story_05,vietnamese,story,19,0.7123766541481018
vietnamese_story_06,vietnamese,story,16,0.70263671875
vietnamese_story_07,vietnamese,story,18,0.6875
vietnamese_story_08,vietnamese,story,17,0.7061121463775635
vietnamese_story_09,vietnamese,story,17,0.7038143277168274
vietnamese_story_10,vietnamese,story,16,0.694580078125
